Median_Household_Income_2018,Percent of Population Aged 60+,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Total physician assistants (2019),Family Medicine/General Practice Primary Care (2019)
53395.0,24.4,40.4,28.7,7.0,10.8,3.4,42.78,70.31
33143.0,17.0,55.9,44.5,8.8,16.7,3.8,0.356268981,3.65258946
47892.0,13.5,45.5,36.6,7.7,13.0,3.2,22.37262997,21.22288142
48260.0,36.6,47.2,36.2,8.0,11.8,3.4,0.579452932,0.888212524
89678.0,23.6,39.3,27.9,6.2,9.3,2.8,42.78,70.31
65163.0,26.6,34.0,26.2,7.6,9.7,2.8,34.48577545,38.45726591
47865.0,21.4,48.0,37.3,9.5,12.6,3.3,42.78,70.31
54473.0,19.3,46.6,38.0,8.7,12.4,3.0,42.78,70.31
47380.0,22.8,51.5,40.1,10.0,12.6,3.4,14.19848118,22.60572354
71888.0,17.5,43.8,38.3,5.8,8.7,2.6,9.257376555,23.93867858
58057.0,20.2,44.7,33.2,8.4,10.4,2.8,9.441630327,38.84556477
56946.0,23.7,49.5,39.9,8.2,12.6,3.2,6.571402762,14.1300956
36423.0,26.3,54.5,40.4,11.5,15.5,3.9,3.955500219,9.241533758
59362.0,24.6,45.7,33.4,8.9,13.6,3.4,8.703765159,8.923517571
44837.0,24.8,59.3,39.9,15.5,17.2,4.0,2.156590425,4.006480116
50197.0,32.1,42.4,32.4,7.9,12.4,3.7,0.71846786,1.078620547
55404.0,28.8,40.9,32.9,6.4,10.6,3.2,1.9860332,2.659514755
47682.0,39.6,41.8,29.6,9.5,14.6,4.1,1.507825754,2.249539393
40569.0,34.6,39.8,27.4,9.6,14.2,4.1,5.817459503,8.67912243
53168.0,23.1,38.4,29.1,7.0,9.4,3.1,8.493173986,10.29235103
53050.0,29.2,45.8,35.0,8.2,11.6,3.5,5.499837621,9.7921022
44340.0,23.5,47.5,35.6,10.3,12.3,3.3,2.764984529,11.37593635
42186.0,26.5,51.0,32.4,12.0,13.7,3.8,5.222410006,7.096923494
42640.0,12.5,40.0,30.5,6.2,8.5,2.4,13.33429987,23.65537784
46345.0,27.6,45.7,32.5,10.0,12.9,3.5,7.095931348,12.58835775
45972.0,33.0,46.2,31.9,9.9,13.5,3.8,4.422862649,7.554768842
51141.0,20.1,48.6,36.6,10.6,12.4,3.3,4.245113648,17.46561044
35840.0,22.5,58.2,43.4,12.6,17.8,4.4,3.221415208,7.526435533
55434.0,20.2,45.2,32.0,11.5,13.2,3.3,4.185553741,16.45987584
54635.0,26.9,42.4,37.4,7.3,11.1,3.2,2.432424111,3.728533309
35025.0,40.6,54.9,37.7,13.8,17.0,4.5,1.032161029,4.246605376
67569.0,17.0,25.7,22.8,4.6,6.8,2.2,41.17792536,61.81954523
62191.0,22.3,44.8,33.8,8.3,11.7,3.0,42.78,70.31
43302.0,27.1,54.8,38.8,11.8,18.1,4.6,3.93698479,3.734659781
54440.0,29.8,50.2,34.7,11.5,14.2,3.6,9.356393861,19.51341874
49332.0,21.4,48.8,35.1,8.3,11.8,3.1,4.627358016,9.94993208
39686.0,38.9,48.9,32.5,11.4,14.5,4.0,2.886156628,23.26877473
51241.0,22.7,48.4,34.8,11.5,15.9,4.0,4.44043833,4.552550389
36096.0,23.2,52.7,38.0,12.1,18.8,4.6,7.148030391,7.328503656
57197.0,26.4,46.2,34.4,8.9,11.9,3.3,10.87976781,26.431025
72111.0,20.5,44.6,34.8,7.7,11.7,3.0,12.7977987,22.70361149
57120.0,15.7,34.9,30.2,5.3,7.9,2.3,34.70189885,70.31
53409.0,26.5,45.1,33.2,9.4,11.3,3.3,8.862670668,21.53074166
46764.0,19.6,47.6,36.6,7.7,13.5,3.3,4.678171037,7.695803528
51292.0,27.0,47.6,35.4,10.1,11.9,3.4,9.334582677,14.86180055
52320.0,21.3,38.9,32.6,6.5,9.6,2.8,35.78543571,70.31
37731.0,22.1,52.1,40.2,11.7,15.7,4.0,6.659764059,15.55970951
48390.0,28.6,42.2,33.5,7.8,12.3,3.5,2.737318378,4.109477975
52270.0,24.4,47.4,35.5,8.7,14.6,3.5,13.53349513,30.20201344
54609.0,30.6,42.7,32.3,6.4,11.0,3.2,2.252547224,3.01640606
48368.0,29.1,39.0,29.0,7.9,11.5,3.5,2.268032251,3.404948673
59251.0,19.1,44.2,35.4,9.6,12.6,3.1,25.95657004,70.31
60917.0,31.6,48.5,34.5,8.5,13.1,3.5,12.32386597,20.27331846
31659.0,33.9,50.1,33.5,12.9,16.0,4.2,0.551864159,4.449239753
65280.0,21.3,48.8,35.8,8.6,12.0,2.8,39.30230168,70.31
94822.0,18.2,30.5,23.2,4.1,8.5,2.4,42.78,70.31
53567.0,21.2,43.3,35.8,8.0,12.8,3.2,42.78,70.31
39396.0,27.1,52.3,35.6,11.9,15.7,4.1,1.803098543,3.163821978
45023.0,28.8,45.4,35.0,10.4,13.9,3.7,1.957182982,15.77920251
63119.0,26.7,47.7,36.5,7.7,11.2,3.0,42.78,70.31
57052.0,20.5,47.4,36.4,7.7,13.1,3.3,0.626809775,1.031130507
44534.0,22.9,46.6,37.4,11.1,12.9,3.2,3.52843178,13.87571456
38110.0,25.6,62.2,45.0,15.7,17.9,3.9,8.119951358,15.08511921
60163.0,37.8,45.8,33.1,9.8,14.0,3.8,42.78,52.99287301
64426.0,22.5,44.5,33.0,8.4,11.2,3.0,11.05967129,10.49130534
46064.0,21.1,51.6,38.7,10.0,14.1,3.3,2.4517832,8.560618723
58356.0,30.0,48.7,34.6,9.2,13.5,3.5,2.12858818,3.501624094
49972.0,24.2,51.5,40.0,11.7,14.7,3.5,2.896059223,11.38888142
50956.0,24.4,47.0,35.3,8.9,12.0,3.1,16.15925232,20.53470695
69562.0,20.2,40.5,33.1,6.4,11.2,2.9,42.78,70.31
47905.0,27.9,49.7,36.8,8.5,12.4,3.4,1.897270246,4.806566238
41214.0,23.4,53.2,39.5,10.5,15.2,3.7,1.156432109,9.323388053
30144.0,24.8,60.9,40.5,18.2,19.2,4.6,1.583680698,3.05171737
59408.0,21.4,41.1,32.3,6.5,9.8,2.9,42.78,70.31
55864.0,19.9,44.0,34.9,7.8,11.7,3.0,42.78,70.31
49019.0,25.9,45.0,33.9,9.0,12.4,3.3,19.99345611,25.4071014
66075.0,23.8,38.3,27.6,7.4,10.9,3.0,1.511267388,2.585752294
59786.0,22.0,40.1,32.3,7.7,10.8,3.0,42.78,70.31
50951.0,24.4,52.7,37.8,10.9,15.0,3.7,13.42753112,23.56073008
52699.0,24.3,49.4,35.8,10.4,13.3,3.2,3.304550681,12.9952922
55174.0,25.4,47.0,33.8,8.6,11.1,3.2,12.84835917,31.21346966
40133.0,22.9,52.9,39.4,11.4,15.9,4.0,2.326358193,5.435246261
43157.0,33.6,56.5,42.8,10.8,17.1,4.5,2.895971147,5.137524456
44906.0,21.7,48.2,33.4,9.6,13.6,3.5,30.97142481,31.75339045
42132.0,29.1,55.9,39.1,12.1,15.9,3.9,2.849322333,9.948661902
46281.0,30.6,43.3,34.4,7.6,12.3,3.7,4.017209218,7.772812095
60205.0,24.1,44.1,33.0,7.1,11.3,3.2,0.709004482,1.833416878
53961.0,22.4,46.4,38.9,7.4,11.7,3.0,15.54578543,33.42717564
39702.0,25.0,54.3,38.5,11.4,15.1,3.9,4.520158993,7.931334878
76067.0,18.7,30.3,24.2,4.0,7.9,2.4,42.78,70.31
48725.0,24.9,49.8,36.3,9.9,13.9,3.5,3.310253738,5.808364479
62875.0,18.3,40.6,30.2,6.3,13.0,3.2,42.78,70.31
55679.0,22.3,40.4,31.5,7.4,10.2,2.9,19.82392251,25.19166304
52069.0,26.9,43.3,35.6,6.8,10.3,2.9,2.964583459,4.544252017
58345.0,31.3,49.2,36.9,9.9,13.4,3.4,7.798446153,18.85438278
51509.0,25.2,46.1,35.9,9.6,12.3,3.5,42.78,70.31
50257.0,29.2,47.1,34.0,10.0,13.3,3.5,21.32493671,27.09910815
51534.0,22.8,52.5,39.2,11.4,12.9,3.3,6.892526435,16.66413144
83330.0,22.8,47.9,36.9,7.8,13.0,3.3,0.282563159,0.464829212
40945.0,31.3,48.0,34.9,9.1,13.6,3.6,0.675667958,1.111504435
33159.0,21.3,55.5,41.7,11.5,18.2,4.5,6.31344398,14.08939214
54184.0,24.0,44.9,36.7,9.4,11.9,3.2,15.60877279,11.3735351
52945.0,18.2,47.1,37.9,7.1,12.6,3.1,42.78,70.31
36863.0,22.4,50.3,37.5,13.2,14.9,3.5,7.997179305,15.41038608
44607.0,20.6,47.8,36.3,10.4,14.7,3.6,9.427392146,9.665414671
99425.0,15.4,33.4,27.1,4.5,8.3,2.3,39.61570074,70.27923315
45850.0,24.7,46.5,32.7,9.9,13.3,3.5,8.234103413,8.441997818
37733.0,26.0,57.3,44.6,11.1,19.0,4.4,2.08686154,7.286462347
110601.0,20.7,23.9,16.8,3.8,8.8,2.3,42.78,70.31
44917.0,25.4,49.6,39.3,8.7,14.7,3.7,3.51860349,5.788262323
25973.0,11.7,60.1,45.6,11.3,18.1,4.6,0.932341156,1.24850635
52047.0,24.8,46.8,35.6,8.4,12.8,3.3,8.259883014,13.58788217
54265.0,26.2,48.1,35.2,10.9,13.7,3.3,1.567041419,6.162459925
37755.0,28.0,54.1,40.0,12.4,14.5,3.8,1.104669554,4.544926166
79834.0,17.6,40.6,31.4,6.7,10.1,2.8,42.78,70.31
54292.0,14.2,40.9,34.1,6.0,11.1,2.8,42.78,70.31
45276.0,30.8,52.0,36.2,13.5,15.5,4.2,2.209773291,9.091638684
43909.0,23.2,46.3,36.0,11.4,15.3,3.7,3.607295487,12.59519247
78714.0,20.8,37.7,29.0,7.2,9.9,2.6,42.78,70.31
42571.0,23.1,54.4,40.5,13.4,15.4,3.7,3.184572919,6.136600959
43074.0,25.4,52.9,38.8,11.5,15.7,4.0,4.673030391,8.199571959
46027.0,28.3,52.3,36.0,11.0,16.6,4.0,1.883604334,6.576771768
59161.0,30.9,42.2,33.4,7.2,11.8,3.3,1.914670487,4.951152317
58624.0,25.3,48.2,37.5,8.4,12.3,3.3,27.59534003,63.88292292
48413.0,26.9,48.9,36.1,11.4,13.4,3.6,5.71958435,9.106279815
39254.0,27.6,49.9,34.8,11.7,15.5,3.9,1.798667559,6.280207477
48039.0,24.2,50.8,38.1,10.1,13.1,3.5,11.40655817,20.01461295
41750.0,26.7,49.3,36.4,9.6,13.3,3.4,3.222023712,4.09445384
40168.0,18.9,49.4,37.1,8.5,15.9,3.7,42.78,65.35503854
48070.0,31.9,55.0,37.0,13.5,16.0,3.7,2.572742093,4.779600206
64878.0,20.8,41.2,35.1,5.9,9.3,2.7,42.78,70.31
42116.0,24.3,50.5,39.7,10.0,16.2,3.9,6.654298565,14.85006
47097.0,31.6,48.8,36.6,8.4,12.4,3.5,0.777574707,1.191902836
65912.0,22.5,38.3,30.7,7.5,11.4,3.3,10.86398612,25.15001398
43799.0,24.1,45.9,36.0,10.3,13.4,3.5,22.50530199,16.39878071
58361.0,19.0,42.8,32.5,7.5,12.3,3.1,42.78,70.31
32341.0,12.2,54.7,45.8,10.5,18.3,4.5,1.255638237,1.681436352
49101.0,19.4,49.1,35.6,10.3,13.4,3.4,18.24406589,18.70469154
42423.0,28.7,57.2,41.0,12.0,18.6,4.3,1.172806115,4.09495668
70224.0,29.6,34.1,25.6,6.6,10.1,3.0,5.445323188,4.955093262
37738.0,27.6,58.8,42.1,10.5,23.8,5.9,1.414444402,2.326825192
47623.0,20.1,55.0,39.1,13.4,15.4,3.6,2.369232222,4.565457629
49767.0,29.9,54.9,38.9,11.8,15.3,3.6,3.231132293,6.226319834
46428.0,13.4,46.7,35.0,8.2,12.7,3.1,6.008507649,6.160210277
74507.0,19.7,42.3,32.5,8.0,10.7,3.0,10.47900837,25.45743045
41455.0,26.7,51.0,36.2,11.9,14.5,3.7,0.696988813,7.145763813
48082.0,20.9,51.8,42.0,9.5,13.8,3.4,1.030364001,10.5636384
36903.0,26.2,49.4,34.0,10.6,13.6,3.8,4.067438981,7.215737375
48883.0,16.5,33.9,27.1,7.1,9.2,2.5,18.55157327,70.31
57705.0,18.8,38.9,28.7,7.4,10.2,3.0,6.16475356,11.83427114
37911.0,23.4,53.1,39.9,9.4,17.4,4.3,1.176464335,1.935337188
46312.0,27.8,46.9,36.4,7.3,11.5,3.5,4.447670623,8.605702652
46645.0,35.2,53.6,37.8,11.9,15.1,4.2,4.082389756,6.499665213
46869.0,5.8,35.6,29.6,4.5,6.7,1.8,3.37903441,3.464348173
65062.0,27.9,45.1,32.3,9.3,12.7,3.3,10.11433175,10.36969811
53795.0,22.7,42.7,32.9,8.6,11.9,3.3,42.78,70.31
50179.0,35.0,54.3,34.6,13.3,18.1,5.1,0.144000511,0.245263631
40504.0,29.6,48.0,34.1,9.9,13.6,3.6,1.347422451,2.390360761
47128.0,19.2,52.5,41.3,9.6,13.7,3.4,22.01876468,51.4441021
38067.0,24.3,51.6,37.5,11.9,14.1,3.7,4.628279957,19.04206611
48606.0,23.1,48.8,36.9,10.3,13.3,3.2,4.658822979,18.32102812
36908.0,22.8,56.2,42.3,11.7,20.3,5.1,1.263763804,2.241948252
56848.0,21.3,43.7,33.0,7.9,13.2,3.4,42.78,70.31
49356.0,21.3,46.5,33.0,9.8,14.2,3.7,3.013150936,5.155449
106200.0,13.5,40.8,35.0,5.1,10.0,2.4,42.78,70.31
78846.0,17.8,42.9,33.1,6.3,10.5,2.8,42.78,70.31
46411.0,29.7,53.6,39.5,10.5,15.9,4.1,19.23309193,18.24468692
44261.0,23.5,52.0,39.1,10.8,13.1,3.5,4.1744504,17.17488164
47758.0,23.0,50.0,37.2,9.9,13.2,3.5,42.78,64.56849692
66929.0,31.5,45.5,34.4,6.4,11.0,3.1,0.568338471,1.469668205
51552.0,28.2,46.5,36.9,7.1,11.5,3.4,3.017750815,5.838981433
64399.0,28.9,47.8,37.9,8.0,12.3,3.3,0.718979359,1.545978454
39506.0,41.0,55.6,39.1,11.6,18.8,4.8,0.708036504,1.164752161
58848.0,24.7,51.1,37.6,8.3,13.5,3.6,42.78,70.31
39202.0,27.3,54.9,36.8,13.3,15.8,4.0,9.921756689,20.69252276
25385.0,25.2,58.9,45.3,12.2,21.8,5.0,1.16317411,4.061325677
90937.0,25.2,44.2,34.1,6.2,11.2,2.9,9.291401406,15.28477671
46184.0,27.4,48.1,36.9,11.4,13.0,3.7,15.58551728,24.81405514
36762.0,24.6,49.7,35.7,11.8,14.0,3.7,4.350077337,17.89746104
43783.0,27.2,49.5,35.3,10.7,13.2,3.7,2.753876437,6.690195808
48020.0,26.0,54.4,41.3,12.1,15.3,3.6,10.42400393,20.08682299
50861.0,33.0,44.2,32.4,8.0,12.2,3.7,0.505743111,0.775226666
40322.0,23.9,52.8,38.0,13.9,15.5,3.8,3.466478779,7.229585776
66209.0,23.4,43.0,34.3,6.2,10.3,3.0,4.85294374,9.389856927
39756.0,24.5,54.0,39.7,11.0,14.7,3.8,3.576472092,6.275486745
52079.0,23.0,50.1,38.3,9.2,13.9,3.5,7.493623842,12.32735108
56330.0,26.1,46.3,39.0,8.0,12.5,3.2,3.7949308,8.160013464
50500.0,22.3,44.8,34.4,9.6,12.7,3.2,22.85203496,70.31
41036.0,25.0,51.6,36.5,11.2,17.6,4.3,2.857820566,2.929974737
52308.0,34.2,41.5,28.0,9.2,13.3,4.0,0.597822183,1.147619242
55766.0,23.2,48.2,37.0,10.3,13.2,3.3,5.839849441,22.96546709
66360.0,24.5,42.7,36.6,6.8,10.2,2.9,6.782335729,17.18244726
34122.0,20.2,50.3,39.5,10.7,16.9,4.8,1.514367487,2.027902996
50387.0,26.0,47.8,39.6,7.4,11.7,3.4,9.520850431,18.42168963
56489.0,20.8,46.0,36.1,8.7,11.8,3.1,18.14563898,31.83939759
89373.0,19.0,32.0,21.6,5.1,10.1,2.7,42.78,70.31
73468.0,20.7,42.8,37.9,5.8,9.3,2.7,12.90609193,24.97172092
63099.0,24.6,43.9,36.1,6.8,9.9,2.9,7.120439017,18.03900201
55405.0,25.9,45.1,37.0,7.7,11.4,3.2,5.60640655,14.20333476
66901.0,20.4,46.2,33.5,8.6,12.1,3.0,5.893385174,6.042181193
54433.0,29.4,44.9,35.6,7.1,10.8,3.2,2.842662172,7.201633005
58375.0,29.2,38.4,26.2,7.6,10.6,3.2,39.64993627,36.08034367
47484.0,23.5,49.2,36.2,10.7,12.5,3.5,4.18870865,10.17593987
46725.0,29.2,54.7,42.5,9.4,13.4,3.7,1.729975334,4.382739386
38591.0,22.0,52.5,36.7,12.1,13.7,3.5,2.70745531,11.1392447
52602.0,24.7,45.0,31.7,8.3,12.5,3.5,1.581103267,2.358862803
42568.0,21.0,54.4,41.9,9.5,14.7,3.7,5.57625599,9.892416073
53626.0,28.0,50.9,38.4,8.9,14.4,3.6,3.743554709,6.158317279
61849.0,21.6,46.9,36.5,8.1,11.2,3.0,30.04641601,52.7211958
68734.0,27.1,42.0,30.4,7.3,11.4,3.0,23.21539785,41.18469009
31716.0,28.1,57.0,41.6,12.4,22.3,5.2,2.640226437,2.706886798
93645.0,23.1,39.2,28.6,7.0,9.4,2.6,42.78,70.31
43491.0,23.2,55.9,40.2,12.3,15.1,3.7,4.903039139,10.22563364
53738.0,22.7,43.8,32.3,8.8,12.2,3.2,42.78,61.48295566
64190.0,27.0,42.4,35.0,7.5,11.2,3.1,3.23346741,8.191703486
36624.0,21.1,53.7,41.0,11.8,17.2,4.2,13.62237933,31.82699317
32715.0,27.5,52.7,37.1,14.1,16.0,4.3,0.888880709,3.657109204
46785.0,24.0,53.3,37.5,12.4,15.9,3.6,8.234389386,15.86748462
39513.0,22.9,53.5,36.0,12.0,15.2,3.8,7.840346595,8.03829944
42909.0,20.0,50.9,39.5,10.5,15.1,3.7,11.67639568,27.28044467
56432.0,22.0,51.8,39.9,12.5,14.1,3.4,1.818022192,3.5032882
46964.0,31.5,48.1,38.1,8.6,12.2,3.6,4.884876207,8.697203507
55418.0,44.2,46.2,27.4,10.1,15.8,4.4,2.997644783,5.317896001
75663.0,19.9,43.5,32.7,6.9,10.6,2.7,23.61012494,70.31
59219.0,27.3,45.3,38.3,7.5,10.5,3.2,3.809050894,5.838691151
67161.0,24.1,43.5,33.4,6.9,10.0,2.8,42.78,70.31
54063.0,24.6,50.3,36.0,9.1,11.5,3.2,21.40317461,51.99631585
73037.0,22.4,37.4,28.8,5.9,10.3,2.9,42.78,70.31
52278.0,18.1,52.2,42.4,9.5,13.4,3.0,24.3512146,46.92424719
49685.0,31.4,46.0,36.3,8.6,12.4,3.6,2.008912188,3.079354449
80428.0,16.3,40.3,32.0,6.7,10.4,2.7,42.78,70.31
38216.0,26.0,56.5,43.6,10.2,18.4,4.5,9.665365065,9.168653707
33393.0,20.9,54.9,42.5,11.4,19.3,4.6,2.008950447,2.05967237
46447.0,36.6,50.6,34.4,10.9,16.1,4.3,5.176050356,4.910048711
32167.0,20.0,57.8,45.5,10.8,19.2,4.5,0.377443053,3.869673166
49965.0,24.2,50.6,35.1,9.7,11.7,3.3,4.141376398,10.06095213
46326.0,25.1,41.1,32.9,8.4,11.6,3.4,1.786231826,2.681631923
